variable	NSGAII(0)	NSGAII(1)	NSGAII(2)	NSGAII(3)	NSGAII(4)	NSGAII(5)	NSGAII(6)
BAYES_00	-4.72743983360337	-4.775353620559454	-4.791484134440218	-4.463212996223427	-4.445375615861977	-4.397739546249773	-4.9593181505351005
FREEMAIL_FROM	0.6303861109045865	4.2484106258116405	-0.16084792566177808	4.145471060894994	1.4782678864069645	2.478540928782374	4.332082719021244
RDNS_NONE	2.512269050398035	2.113521732233884	2.369217320576688	2.125613454012766	3.345162201287666	2.230763763631723	4.536984091354053
FREEMAIL_REPLYTO_END_DIGIT	-0.6667051256328932	0.9173879842056627	0.08358979583242648	-0.7132545387564705	-2.5110887250766716	-0.7773636195575678	0.5975671157819831
MSOE_MID_WRONG_CASE	3.294722812939968	3.276401826458267	3.4115179676428093	-0.4410699359175122	-0.6719982196690093	-0.4795094837065823	2.1911674522084383
DATE_IN_PAST_24_48	2.3122837463645203	-1.3576253782697139	3.0133427701468243	3.350432694791155	0.9490277631112529	1.3985486834295613	-4.475745256893175
T_LOTS_OF_MONEY	3.10309349944956	2.998448088515838	3.0046951999760516	0.577501652962127	3.4793083584628857	3.0729361847637238	2.2294672521091448
SPF_HELO_FAIL	4.6731491187758945	3.988148350969629	4.077968216890031	4.908110241131041	4.808760618885047	4.9804830102451385	4.359788588940746
ALL_TRUSTED	-4.158395985295934	-4.938774337977097	-3.9542761909164406	-3.695771600399861	3.06180413268401	2.8070110005317512	-2.9370747805371376
DNS_FROM_RFC_DSN	-3.8557296587447807	-3.90105983177064	4.754518216439747	2.185225546611963	-1.3967763724600797	1.990632053550574	1.4014182168620273
DATE_IN_PAST_06_12	-2.893972282313295	-1.933954766443879	1.3491607354505026	2.731771937408325	1.3235609976835105	2.3208906906993	0.817837114582892
HTML_IMAGE_RATIO_04	3.7415114623883885	4.650153930291027	4.382555570383001	3.1072999345944967	4.421418803717143	2.955069080333195	3.8130400463665506
HTML_MESSAGE	4.718000691243207	4.498229652197511	4.569260655132022	3.184404506453125	4.472688013236826	3.7751873600935393	4.317129010121051
NO_DNS_FOR_FROM	2.8193025483000262	2.1722973597501376	2.428930551571872	3.0576471148481414	2.7861623285928103	2.870371251938991	3.7781066359328386
URIBL_GREY	-0.05941176018019434	-0.16873720746504756	-2.504939645098432	-4.752881516824019	1.9531595306333205	-4.701292110974746	-0.15320489980136276
PLING_QUERY	3.76275789180012	3.764340113482655	3.784468128376661	-1.3157906189072683	-1.9812840067152497	-1.4736927620443014	3.6533020061622916
HTTP_ESCAPED_HOST	0.6257834542464229	0.3775409138141692	4.661463077214772	0.5817333538917443	2.014192710205362	2.818824314795514	-0.6880204111708141
MIME_HEADER_CTYPE_ONLY	2.8167834491998476	-0.8688664297803228	2.6002040211611823	-3.157310611407104	-4.5182573118170035	-3.1630424831038213	-0.5251914582169048
MIME_HTML_ONLY	1.5900247905052693	2.429527350091106	-1.0846838307690978	1.1184215345733086	2.1691198035835932	2.385790578820075	3.6319126451205688
NORMAL_HTTP_TO_IP	4.770077609355274	4.660806308304872	4.68537014566026	4.206023735271689	4.145356692705784	4.079699463715051	4.451658925099655
DATE_IN_PAST_03_06	0.18176418280021883	0.16624851267037255	0.20512821747677656	1.7822357085457692	2.4204346419777334	2.4294222655752935	1.0312892740369302
HK_NAME_DRUGS	-3.2788718648965034	-3.7633923825513533	0.3145339113555703	1.3742769255787934	0.6924353450967565	0.404470274693434	3.327677317910909
HS_INDEX_PARAM	0.6114850360375987	0.23946326376052682	-1.2128668798493605	-0.28954095237318267	-0.10674937552831634	-0.10025877961686827	-2.09604446829418
LOW_PRICE	-1.394088134480382	-0.46975116450914844	-4.012143997580729	-4.545477286941313	-4.116584227523155	-4.436982914269635	0.4364446994860777
SPF_SOFTFAIL	3.8862851206784366	2.7735930498169075	-0.6649548334250133	3.672453952608991	4.436143942467296	4.373862292207173	2.20947533885135
MSGID_FROM_MTA_HEADER	3.3193223787812776	4.22170450916819	4.026488669268135	4.3348253381323385	4.943345331759335	4.739426642455584	2.0479819540491935
RCVD_IN_DNSWL_LOW	1.9963336161876464	0.09678020056895109	0.3477553693751392	-1.9859608274924614	-2.269795573865541	-2.2238909664594897	4.54866132653519
MISSING_HEADERS	-4.460692146281659	-4.355192276517521	-3.320437424503184	-3.712876013187195	0.6544052532951414	0.43093203445270234	-3.7799560584424245
NO_RECEIVED	-1.9865342443015361	-2.0135749058670633	-3.22463390979472	-0.053329003239362294	-1.4264691321559453	-3.176246214144458	-1.9976276401578597
NO_RELAYS	-0.7646593560514495	1.5024176473022435	0.5085179250258411	-1.6575153728521703	-1.610595019660295	-1.7321360506482832	-4.13206498000737
RCVD_IN_NJABL_PROXY	1.992029260823551	1.6610792967414392	-1.530265882718818	3.1226275509357406	2.7286838248433436	2.879010485530367	2.691737892806082
BAYES_05	1.3432507395330502	4.994011890534496	1.0998645583732563	3.0096573008791823	-1.65735024035963	3.2656379428510136	0.04348113713540959
SPF_FAIL	-2.062225541803497	0.12439843121719174	-1.9384293609930108	-0.4492707458107371	-0.7681065813240209	-1.0687316013763601	-0.13245563378196334
SUBJECT_NEEDS_ENCODING	2.4586503698365743	2.4296304698548203	3.654325456465599	3.4705960457946765	2.697614627695476	-0.19333728819551954	3.1530854856316965
HTML_FONT_FACE_BAD	-0.5207263746755479	1.0103480484188951	-1.3260030878080735	-3.014409722962744	-3.4680776950536725	-3.1244218802707575	1.0019122489117442
