variable	NSGAII(0)	NSGAII(1)	NSGAII(2)	NSGAII(3)	NSGAII(4)
BAYES_00	-4.166272786527818	-4.5261977210127835	-4.437959546294073	-4.421995776632209	-4.464745064325098
FREEMAIL_FROM	0.10880146964294098	1.5766065248369914	1.2638581905765722	1.3126098401370676	1.245454884831302
RDNS_NONE	3.5500830667671734	2.6008729563048747	4.100330415859997	3.941871004718302	4.100886101633787
FREEMAIL_REPLYTO_END_DIGIT	4.0306175559855975	-1.091539237649602	-1.3430226601167394	-1.6508391495198147	-1.5751985936664588
MSOE_MID_WRONG_CASE	-0.00555061878578017	2.2163081935447178	2.5287427308366186	2.5243566655788072	2.889039117744407
DATE_IN_PAST_24_48	2.20370928716383	3.278012018059341	3.5020582254109387	3.0800273368681093	3.3738751968961935
T_LOTS_OF_MONEY	3.310033803991559	0.6610076097721959	2.3480696503353555	2.2386294504757127	2.5574653652132153
SPF_HELO_FAIL	2.691548843721474	3.302952759540404	4.465138808132573	3.333481314966132	1.7243309694253977
ALL_TRUSTED	-2.7745066607103794	-3.261253224528633	-3.4341593046066574	-3.4341593046066574	-2.8663364595596765
DNS_FROM_RFC_DSN	-2.9020663975012697	2.489782422574156	-4.107668114950899	2.8970988905971544	2.4450418301934143
DATE_IN_PAST_06_12	2.8077947317117493	0.9925142925527984	1.013726567614766	0.9844409097416804	1.0457446262927055
HTML_IMAGE_RATIO_04	-2.0224005516148322	-0.006848318729432479	2.1368421815207013	0.6767930061442301	3.415547173409176
HTML_MESSAGE	1.6797449448541357	0.9066328885675143	1.1318549011006038	1.1168054870473247	1.0087172045482966
NO_DNS_FOR_FROM	3.6313192064702746	2.23228966413593	2.6330454789036013	2.6330454789036013	2.786316848015586
URIBL_GREY	-2.7071270581657996	0.13367403047994264	1.2832994284514356	-1.81070243017055	0.9127610037699017
PLING_QUERY	1.3430667645533447	2.8060226723395587	2.806738927892922	2.845065859925537	2.7845130313915627
HTTP_ESCAPED_HOST	-2.447063083094201	0.33840210390067677	0.03253472162336962	0.03253472162336962	0.82273284646319
MIME_HEADER_CTYPE_ONLY	2.845009331942722	-4.259853790408275	-0.24389545628036352	-0.0668203826420859	-0.5566930361803115
MIME_HTML_ONLY	1.898714339609065	4.747846259545679	4.647016244760858	4.682950093595304	4.247206702340392
NORMAL_HTTP_TO_IP	4.569777070638829	4.277758144378737	4.5388359429659655	4.254488108970878	4.280055832470869
DATE_IN_PAST_03_06	4.379768921633668	-2.492691553147826	-2.47741193730806	-2.47741193730806	-2.347048527427965
HK_NAME_DRUGS	-3.0421292558350532	-0.594038104352306	-1.1299813640551963	-0.5023175157929892	-0.8226978675506501
HS_INDEX_PARAM	-1.7865309745426647	-0.7255074118764795	-1.3061448917003116	-1.3061448917003116	-0.7188301213828057
LOW_PRICE	0.19996333756997367	1.0231215303981638	-1.274972602990889	1.0034021401957203	-0.022627178237342727
SPF_SOFTFAIL	2.329792299946201	4.3659052820116555	3.6878002668116516	3.712003607806697	3.71684281310119
MSGID_FROM_MTA_HEADER	2.6806086067205346	3.5629093410655486	3.428671854047789	3.727495993778443	3.458826419395174
RCVD_IN_DNSWL_LOW	1.840552846583815	-1.4347443507378466	-1.631662571960032	-1.4439466980658273	-1.430390232768454
MISSING_HEADERS	4.055902554452865	0.6613963091214671	0.6401364575575306	0.6394601065174226	1.1279410425713439
NO_RECEIVED	-3.5005833099605677	2.7958005255899323	3.2717530677658804	2.737118508801663	3.2456161794454874
NO_RELAYS	2.3654384982371988	2.7650852808119666	-2.5974925811889995	-1.6261824968821148	-1.8688857534276906
RCVD_IN_NJABL_PROXY	2.2312905418834483	2.85880606280059	3.172136271088641	2.8579246076418943	3.1705849444127963
BAYES_05	-1.9570049236943876	-0.3743836139754865	2.9914132019537396	2.9914132019537396	-0.7292896348629854
SPF_FAIL	-1.5615169889884324	0.84305312706049	0.9516057216228336	0.9516057216228336	0.570175915227168
SUBJECT_NEEDS_ENCODING	-2.9786139738369815	-0.5222645560548504	-2.784046264461324	-2.8072120482551632	-2.7984679901600105
HTML_FONT_FACE_BAD	-2.8534298337202695	-1.8567718800662272	-1.4990886559619168	-1.499132990613357	-1.6788751863296951
RCVD_IN_DNSWL_MED	4.872428365354372	-3.679114093056908	-3.654962557316612	-3.6551343182771667	3.0021403226460333
TVD_SPACE_RATIO	2.4773519415036835	-0.7164528471937858	-0.7267996822131473	-0.7272373033727279	-0.7014514648257166
SUBJ_DOLLARS	0.17435474117391325	4.431870005833535	4.408490692342978	4.408490692342978	4.41139337244855
FROM_LOCAL_NOVOWEL	-1.358752253296837	-1.6390204466008744	-1.9389929649708189	-1.5669845925153882	-2.1411037363328496
MIME_QP_LONG_LINE	3.2526817010519564	4.7510460860081745	4.22450207275152	4.719799059815298	4.876037276561751
APOSTROPHE_FROM	-3.1020286855372396	1.7194551376865652	1.3080617166544295	1.3124144805919136	-3.202153262530774
RCVD_IN_DNSWL_HI	-2.742205886929933	-4.621925046312375	0.19936035532195756	-4.195864837812744	0.97616378184637
RCVD_NUMERIC_HELO	-1.1110638356697007	2.28397033865507	2.270360927927916	2.0060339612610703	2.393498160434552
HTML_TAG_BALANCE_BODY	-3.6643079513368897	-4.60982675948567	-2.2612987645742546	-2.0293618926780637	-2.6904788711367233
RDNS_DYNAMIC	4.648480103148588	1.2661426645464298	3.4962072288746744	3.4962072288746744	1.9029634999197147
URIBL_SBL	-1.0688475332805596	0.03759584414861808	0.48704171669568175	-0.044904856713829544	0.3652454003791161
ACT_NOW_CAPS	-1.1683547633047024	0.6447849288126172	-1.743344138233832	-2.2491608574935533	-1.9810673160928174
BAYES_50	3.6253588096193075	1.1607297800231295	2.3661189876972015	2.36760145163158	1.191583163063926
DEAR_EMAIL	0.8530163808483646	-4.594377419478999	-4.268574394581984	-4.267929035047822	-4.527635869505501
DRUGS_ANXIETY	-3.850055810900784	3.599668658400992	3.882675303687093	3.882675303687093	4.867982486330468
ENV_AND_HDR_SPF_MATCH	2.909194735004685	4.117133549322685	4.038837634198047	4.593515948710591	-2.4923849998025487
SPF_PASS	-2.0194502679157296	1.34055885365436	1.4950314868865906	1.4516855851204389	1.4588645823617714
URI_HEX	-2.115118302764913	-0.5369221718895604	-0.5220665830857529	-0.5221237041252531	-0.5600333071307262
USER_IN_DEF_SPF_WL	1.1411069092345174	-0.3875522820858177	-0.7523854169948349	-0.7523854169948349	-0.5951512838144076
SPF_HELO_SOFTFAIL	-3.44261747474123	4.423956139765959	3.441148250726165	3.5203019420943495	3.683154416455479
DATE_IN_PAST_12_24	0.4967592385157438	1.1220077585611283	4.479541046774762	4.342657561742136	0.9779866152153469
RCVD_IN_DNSWL_NONE	-1.2806388810374605	2.590703548737639	3.0954147259632463	2.4776894731778314	2.7723350416481147
FH_HOST_EQ_PACBELL_D	-1.3703342023885834	-2.921188288985427	3.5936168234532424	-2.8769801641207025	4.959993539037282
MSGID_SPAM_CAPS	-3.54239913521456	0.9428262465464834	4.530112106761907	4.530112106761907	-3.2514874960976683
SUBJECT_DRUG_GAP_C	-0.3139165533189985	-2.2091921232740903	-2.7620490883655044	-2.2454484608016476	-2.3409846223968502
HTML_IMAGE_RATIO_02	1.8988441314785487	1.3847189798055055	1.3847189798055055	1.0253981177133835	1.3847189798055055
URG_BIZ	3.880047274160874	-0.5064626848756183	-0.8808102654437219	1.5653802675059645	-0.6821610075879351
FS_START_DOYOU2	-2.658541651522432	3.534567516107967	-2.8762719177160956	3.383284613826413	-3.0844226072843863
XMAILER_MIMEOLE_OL_3AC1D	-4.1496773646192935	-3.098408964432633	-2.1003713124626917	-2.1003713124626917	-1.7610222629054437
DATE_IN_FUTURE_12_24	-3.2090910108211608	-1.8504917403871202	-1.1370253881360703	1.8298328891077378	2.18394408307253
MSGID_RANDY	-0.4514104796931091	-0.3928526169002317	-1.2863781833319128	-0.3120358832581629	-0.06942331572434157
FREEMAIL_REPLY	-1.220553060173762	-0.350830645137881	0.23476658852517818	-0.4101525010752172	4.033616268833062
FROM_LOCAL_DIGITS	-3.6915024055521632	0.4142982732596236	0.173719057165002	0.41236819742830705	-0.13727143814299514
FROM_LOCAL_HEX	3.608332934802131	-2.124544407107761	-3.4559068268358124	-3.4582481852007065	-3.3549896678134905
HTTP_EXCESSIVE_ESCAPES	2.9354929890122277	-2.9655613648439276	-3.16837992809157	-2.9670135193934803	-3.0391726440334925
FAKE_REPLY_C	1.1788041710438186	3.2266330108448504	1.8388292526630077	1.4437311780325868	2.1206256184790035
SPF_NEUTRAL	0.959619622432424	-1.4115438074609983	-1.4332535869164493	-1.3575509606947773	-1.4105700759915154
T_FILL_THIS_FORM_SHORT	2.492864233246234	2.4162975581338992	2.9853027806403687	2.0331501659097246	2.4791782020690003
BODY_ENHANCEMENT	3.0133723215832466	3.9413691929788293	4.828226782212243	3.8112997709798075	-0.7413518933499479
HK_RANDOM_ENVFROM	-4.084735844039254	-0.2667809151696072	-0.3058904303609071	-0.31064034171872673	0.20346810640302054
MISSING_SUBJECT	-3.0485656999419364	2.4648084737390423	-1.000313868464461	-1.000313868464461	2.661313691358269
